mask_rate,model,mse,mae,rse
0.0,FuzzGate-TST (V1),0.2878046929836273,0.34036460518836975,0.5104787945747375
0.0,PatchTST,0.2878046929836273,0.34036460518836975,0.5104787945747375
0.1,FuzzGate-TST (V1),0.30402296781539917,0.3603231608867645,0.5246648192405701
0.1,PatchTST,0.30402296781539917,0.3603231608867645,0.5246648192405701
0.3,FuzzGate-TST (V1),0.3698963224887848,0.42332935333251953,0.5787203311920166
0.3,PatchTST,0.3698963224887848,0.42332935333251953,0.5787203311920166
